item_id;definition;type;category
item_1;Respond when his or her name is called (e.g. by turning and looking at the speaker);first_signs;
item_2;Respond to 'no' (by stopping what she or he is doing, at least for a moment);first_signs;
item_3;React to 'there's Mummy/Daddy' by looking round for them;first_signs;
item_4;Are you hungry?;phrases;
item_5;Are you tired/ sleepy?;phrases;
item_6;Be careful;phrases;
item_7;Be quiet;phrases;
item_8;Clap your hands;phrases;
item_9;Change nappy;phrases;
item_10;Come here/come on;phrases;
item_11;Daddy/Mummy's home;phrases;
item_12;Do you want more?;phrases;
item_13;Don't do that;phrases;
item_14;Don't touch;phrases;
item_15;Get up;phrases;
item_16;Give it to Mummy;phrases;
item_17;Give me a hug;phrases;
item_18;Give me a kiss;phrases;
item_19;Go and get_____;phrases;
item_20;Good girl/boy;phrases;
item_21;Hold still;phrases;
item_22;Let's go bye bye;phrases;
item_23;Look/look here;phrases;
item_24;Open your mouth;phrases;
item_25;Sit down;phrases;
item_26;Spit it out;phrases;
item_27;Stop it;phrases;
item_28;Time to go night night;phrases;
item_29;Throw the ball;phrases;
item_30;This little piggy;phrases;
item_31;Want to go for a ride?;phrases;
item_32;baa baa;word;sounds
item_33;choo choo;word;sounds
item_34;cockadoodledoo;word;sounds
item_35;grr;word;sounds
item_36;meow;word;sounds
item_37;moo;word;sounds
item_38;ouch;word;sounds
item_39;quack;word;sounds
item_40;uhoh;word;sounds
item_41;vroom;word;sounds
item_42;woof;word;sounds
item_43;yum;word;sounds
item_44;tweet-tweet;word;sounds
item_45;animal;word;animals
item_46;bear;word;animals
item_47;bee;word;animals
item_48;bird;word;animals
item_49;bug/beastie;word;animals
item_50;bunny/rabbit;word;animals
item_51;butterfly;word;animals
item_52;cat/pussy cat;word;animals
item_53;chicken;word;animals
item_54;cow;word;animals
item_55;dog/doggie;word;animals
item_56;donkey;word;animals
item_57;duck;word;animals
item_58;elephant;word;animals
item_59;fish;word;animals
item_60;fly;word;animals
item_61;frog;word;animals
item_62;giraffe;word;animals
item_63;goose;word;animals
item_64;horse;word;animals
item_65;kitten/kitty;word;animals
item_66;lamb;word;animals
item_67;lion;word;animals
item_68;monkey;word;animals
item_69;mouse;word;animals
item_70;owl;word;animals
item_71;penguin;word;animals
item_72;pig;word;animals
item_73;puppy;word;animals
item_74;sheep;word;animals
item_75;snake;word;animals
item_76;spider;word;animals
item_77;squirrel;word;animals
item_78;tiger;word;animals
item_79;aeroplane/plane;word;vehicles
item_80;bicycle/bike;word;vehicles
item_81;boat;word;vehicles
item_82;bus;word;vehicles
item_83;car;word;vehicles
item_84;fire-engine;word;vehicles
item_85;lorry/truck;word;vehicles
item_86;pram;word;vehicles
item_87;pushchair/buggy/stroller;word;vehicles
item_88;tractor;word;vehicles
item_89;train;word;vehicles
item_90;ball;word;toys
item_91;balloon;word;toys
item_92;block;word;toys
item_93;book;word;toys
item_94;brick;word;toys
item_95;bubbles;word;toys
item_96;doll;word;toys
item_97;pen;word;toys
item_98;teddy/teddy bear;word;toys
item_99;toy;word;toys
item_100;apple;word;food_drink
item_101;banana;word;food_drink
item_102;biscuit;word;food_drink
item_103;bread;word;food_drink
item_104;butter/spread/marge;word;food_drink
item_105;cake;word;food_drink
item_106;carrots;word;food_drink
item_107;cereal;word;food_drink
item_108;cheese;word;food_drink
item_109;chicken;word;food_drink
item_110;chips;word;food_drink
item_111;chocolate;word;food_drink
item_112;coffee;word;food_drink
item_113;drink;word;food_drink
item_114;egg;word;food_drink
item_115;fish;word;food_drink
item_116;food;word;food_drink
item_117;ice cream;word;food_drink
item_118;jam;word;food_drink
item_119;juice;word;food_drink
item_120;meat;word;food_drink
item_121;milk;word;food_drink
item_122;orange;word;food_drink
item_123;pasta;word;food_drink
item_124;peas;word;food_drink
item_125;pizza;word;food_drink
item_126;potato/spud/tattie;word;food_drink
item_127;sandwich/butty;word;food_drink
item_128;sausages;word;food_drink
item_129;tea/brew (drink);word;food_drink
item_130;toast;word;food_drink
item_131;water;word;food_drink
item_132;yoghurt;word;food_drink
item_133;arm;word;body_parts
item_134;back;word;body_parts
item_135;belly/tummy;word;body_parts
item_136;belly button/tummy button;word;body_parts
item_137;buttocks/bum/bottom;word;body_parts
item_138;cheek;word;body_parts
item_139;chin;word;body_parts
item_140;ear/tab;word;body_parts
item_141;face;word;body_parts
item_142;feet;word;body_parts
item_143;eye;word;body_parts
item_144;finger;word;body_parts
item_145;foot;word;body_parts
item_146;hair;word;body_parts
item_147;hand;word;body_parts
item_148;head;word;body_parts
item_149;leg;word;body_parts
item_150;lips;word;body_parts
item_151;knee;word;body_parts
item_152;mouth;word;body_parts
item_153;nose;word;body_parts
item_154;toe;word;body_parts
item_155;tongue;word;body_parts
item_156;tooth/teeth;word;body_parts
item_157;bib;word;clothing
item_158;boots;word;clothing
item_159;button;word;clothing
item_160;cardigan;word;clothing
item_161;coat;word;clothing
item_162;dress;word;clothing
item_163;glasses/specs;word;clothing
item_164;hat;word;clothing
item_165;jacket;word;clothing
item_166;jumper;word;clothing
item_167;nappy;word;clothing
item_168;pyjamas/PJs/jim jams;word;clothing
item_169;scarf;word;clothing
item_170;shoes;word;clothing
item_171;sock;word;clothing
item_172;trousers/pants/britches;word;clothing
item_173;vest;word;clothing
item_174;zip;word;clothing
item_175;bath/bathtub;word;furniture_rooms
item_176;bathroom;word;furniture_rooms
item_177;bed;word;furniture_rooms
item_178;bedroom;word;furniture_rooms
item_179;chair;word;furniture_rooms
item_180;cooker;word;furniture_rooms
item_181;cot;word;furniture_rooms
item_182;door;word;furniture_rooms
item_183;downstairs;word;furniture_rooms
item_184;drawer;word;furniture_rooms
item_185;high chair;word;furniture_rooms
item_186;kitchen;word;furniture_rooms
item_187;living room;word;furniture_rooms
item_188;oven;word;furniture_rooms
item_189;refrigerator/fridge;word;furniture_rooms
item_190;settee/sofa/couch;word;furniture_rooms
item_191;sink;word;furniture_rooms
item_192;stairs;word;furniture_rooms
item_193;table;word;furniture_rooms
item_194;television/telly/TV;word;furniture_rooms
item_195;toilet/lav/loo;word;furniture_rooms
item_196;upstairs;word;furniture_rooms
item_197;window;word;furniture_rooms
item_198;bag;word;household
item_199;bin;word;household
item_200;bottle;word;household
item_201;bowl;word;household
item_202;box;word;household
item_203;broom;word;household
item_204;brush;word;household
item_205;bucket;word;household
item_206;clock;word;household
item_207;comb;word;household
item_208;computer/laptop;word;household
item_209;cup;word;household
item_210;dummy/dodie/soother;word;household
item_211;fork;word;household
item_212;glass;word;household
item_213;hoover;word;household
item_214;key;word;household
item_215;lamp/light;word;household
item_216;medicine;word;household
item_217;money;word;household
item_218;paper;word;household
item_219;phone/telephone/mobile;word;household
item_220;picture;word;household
item_221;pillow;word;household
item_222;plant;word;household
item_223;plate;word;household
item_224;purse;word;household
item_225;radio;word;household
item_226;rubbish;word;household
item_227;scissors;word;household
item_228;soap;word;household
item_229;spoon;word;household
item_230;toothbrush;word;household
item_231;towel;word;household
item_232;watch;word;household
item_233;flower;word;outside
item_234;garden;word;outside
item_235;grass;word;outside
item_236;house;word;outside
item_237;moon;word;outside
item_238;outside;word;outside
item_239;park;word;outside
item_240;party;word;outside
item_241;rain;word;outside
item_242;road;word;outside
item_243;shop;word;outside
item_244;sky;word;outside
item_245;slide;word;outside
item_246;snow;word;outside
item_247;star;word;outside
item_248;stone;word;outside
item_249;sun;word;outside
item_250;swing;word;outside
item_251;tree;word;outside
item_252;wall;word;outside
item_253;water;word;outside
item_254;aunt/auntie;word;people
item_255;baby/bairn/wee one;word;people
item_256;boy/laddie;word;people
item_257;brother;word;people
item_258;child's own name;word;people
item_259;dad/daddy/da;word;people
item_260;girl/lassie;word;people
item_261;grandma/nan/granny/nanny;word;people
item_262;grandpa/granddad;word;people
item_263;lady;word;people
item_264;man;word;people
item_265;mum/mummy/mam/ma;word;people
item_266;people/folk;word;people
item_267;police/policeman;word;people
item_268;sister;word;people
item_269;uncle;word;people
item_270;bath;word;games_routines
item_271;breakfast;word;games_routines
item_272;brush teeth;word;games_routines
item_273;bye/byebye/cheerio;word;games_routines
item_274;clap hands;word;games_routines
item_275;dinner;word;games_routines
item_276;don't/dinnae;word;games_routines
item_277;goodnight/night night;word;games_routines
item_278;hello/hi/hiya;word;games_routines
item_279;hush/shh;word;games_routines
item_280;lunch;word;games_routines
item_281;music;word;games_routines
item_282;nap;word;games_routines
item_283;no;word;games_routines
item_284;oops;word;games_routines
item_285;peekaboo/peepo;word;games_routines
item_286;(call on) phone;word;games_routines
item_287;please;word;games_routines
item_288;sorry;word;games_routines
item_289;tea (meal);word;games_routines
item_290;thank you/ ta;word;games_routines
item_291;this little piggy;word;games_routines
item_292;wait;word;games_routines
item_293;want to;word;games_routines
item_294;yes/yeah/aye;word;games_routines
item_295;bite;word;action_words
item_296;blow;word;action_words
item_297;break;word;action_words
item_298;bring;word;action_words
item_299;bump;word;action_words
item_300;carry;word;action_words
item_301;catch;word;action_words
item_302;clean;word;action_words
item_303;come;word;action_words
item_304;cry/blub/weep;word;action_words
item_305;cuddle;word;action_words
item_306;dance;word;action_words
item_307;draw;word;action_words
item_308;drink;word;action_words
item_309;drop;word;action_words
item_310;eat;word;action_words
item_311;fall;word;action_words
item_312;feed;word;action_words
item_313;find;word;action_words
item_314;finish;word;action_words
item_315;get;word;action_words
item_316;give;word;action_words
item_317;go;word;action_words
item_318;help;word;action_words
item_319;hit;word;action_words
item_320;hug;word;action_words
item_321;hurry;word;action_words
item_322;jump;word;action_words
item_323;kick;word;action_words
item_324;kiss;word;action_words
item_325;like;word;action_words
item_326;look;word;action_words
item_327;love;word;action_words
item_328;open;word;action_words
item_329;play;word;action_words
item_330;pull;word;action_words
item_331;push;word;action_words
item_332;put;word;action_words
item_333;read;word;action_words
item_334;ride;word;action_words
item_335;run;word;action_words
item_336;say;word;action_words
item_337;see;word;action_words
item_338;show;word;action_words
item_339;shut/close;word;action_words
item_340;sing;word;action_words
item_341;sleep;word;action_words
item_342;smile;word;action_words
item_343;splash;word;action_words
item_344;stop;word;action_words
item_345;swim;word;action_words
item_346;swing;word;action_words
item_347;take;word;action_words
item_348;throw;word;action_words
item_349;tickle;word;action_words
item_350;touch;word;action_words
item_351;walk;word;action_words
item_352;wash;word;action_words
item_353;wipe;word;action_words
item_354;all gone;word;descriptive_words
item_355;asleep;word;descriptive_words
item_356;big;word;descriptive_words
item_357;blue;word;descriptive_words
item_358;broken;word;descriptive_words
item_359;careful;word;descriptive_words
item_360;clean;word;descriptive_words
item_361;cold;word;descriptive_words
item_362;dirty/mucky;word;descriptive_words
item_363;empty;word;descriptive_words
item_364;fast;word;descriptive_words
item_365;gentle;word;descriptive_words
item_366;good;word;descriptive_words
item_367;happy;word;descriptive_words
item_368;hot;word;descriptive_words
item_369;hungry;word;descriptive_words
item_370;hurt;word;descriptive_words
item_371;naughty;word;descriptive_words
item_372;nice;word;descriptive_words
item_373;old;word;descriptive_words
item_374;pretty;word;descriptive_words
item_375;sad;word;descriptive_words
item_376;sleepy;word;descriptive_words
item_377;soft;word;descriptive_words
item_378;thirsty;word;descriptive_words
item_379;tired;word;descriptive_words
item_380;wet;word;descriptive_words
item_381;yellow;word;descriptive_words
item_382;how;word;question_words
item_383;what;word;question_words
item_384;when;word;question_words
item_385;where;word;question_words
item_386;who;word;question_words
item_387;why;word;question_words
item_388;day;word;time_words
item_389;later;word;time_words
item_390;morning;word;time_words
item_391;night;word;time_words
item_392;now;word;time_words
item_393;today;word;time_words
item_394;tomorrow;word;time_words
item_395;tonight;word;time_words
item_396;he;word;pronouns
item_397;her;word;pronouns
item_398;his;word;pronouns
item_399;I;word;pronouns
item_400;it;word;pronouns
item_401;me;word;pronouns
item_402;mine;word;pronouns
item_403;my;word;pronouns
item_404;she;word;pronouns
item_405;that;word;pronouns
item_406;this;word;pronouns
item_407;you;word;pronouns
item_408;your;word;pronouns
item_409;back;word;locations
item_410;down;word;locations
item_411;in;word;locations
item_412;inside;word;locations
item_413;off;word;locations
item_414;on;word;locations
item_415;out;word;locations
item_416;there;word;locations
item_417;to;word;locations
item_418;under;word;locations
item_419;up;word;locations
item_420;again;word;quantifiers
item_421;all;word;quantifiers
item_422;another;word;quantifiers
item_423;more;word;quantifiers
item_424;none;word;quantifiers
item_425;not;word;quantifiers
item_426;some;word;quantifiers
item_427;Extends an arm to show you something she or he is holding.;gesture_first;
item_428;Reaches out and gives you a toy or some object that she or he is holding.;gesture_first;
item_429;When you look/point at toy across the room, does your child look at it?;gesture_first;
item_430;Points (with arm and index finger extended) at some interesting object or event.;gesture_first;
item_431;Waves bye-bye on his or her own when someone leaves.;gesture_first;
item_432;Extends his or her arm upward to signal a wish to be picked up.;gesture_first;
item_433;Shakes head "no".;gesture_first;
item_434;Nods head "yes".;gesture_first;
item_435;Gestures "hush" by placing finger to lips.;gesture_first;
item_436;Requests something by extending arm and opening and closing hand.;gesture_first;
item_437;Blows kisses from a distance.;gesture_first;
item_438;Shrugs to indicate "all gone" or "where did it go".;gesture_first;
item_439;Plays 'peekaboo'/'peepo'.;gestures_games;
item_440;Plays 'pattycake'/ 'pat-a-cake'.;gestures_games;
item_441;Plays chasing games.;gestures_games;
item_442;Sings.;gestures_games;
item_443;Dances.;gestures_games;
item_444;Claps hands.;gestures_games;
item_445;Plays 'high five'/'gimme five'.;gestures_games;
item_446;Eat with a spoon or fork, holding or helping to hold the spoon or fork.;gestures_objects;
item_447;Drink from an open cup containing liquid.;gestures_objects;
item_448;Comb or brush own hair.;gestures_objects;
item_449;Brush teeth.;gestures_objects;
item_450;Wipe face or hands with a towel or cloth.;gestures_objects;
item_451;Put on a hat.;gestures_objects;
item_452;Put on a shoe or a sock.;gestures_objects;
item_453;Put on a necklace, bracelet, or watch.;gestures_objects;
item_454;Lay head on hands and squeeze eyes shut as if sleeping.;gestures_objects;
